epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5757753849029541,1.0689847469329834,0.001,0.8339393734931946,0.6713581681251526
1,0.8444919586181641,0.6141164302825928,0.001,0.8990908861160278,0.5556359887123108
2,0.9244920015335083,0.4726150333881378,0.001,0.9581817984580994,0.3817565441131592
3,0.964759349822998,0.30810001492500305,0.001,0.9727272987365723,0.24041436612606049
4,0.9763636589050293,0.1925308108329773,0.001,0.975151538848877,0.15913867950439453
5,0.9787165522575378,0.13544544577598572,0.001,0.9812121391296387,0.1228129044175148
6,0.979839563369751,0.10895557701587677,0.001,0.9836363792419434,0.09514472633600235
7,0.9810695052146912,0.09514496475458145,0.001,0.9781818389892578,0.09014317393302917
8,0.981176495552063,0.08712771534919739,0.001,0.9830303192138672,0.08452582359313965
9,0.9829946756362915,0.0805472731590271,0.001,0.9872727394104004,0.0707099661231041
10,0.9829946756362915,0.07902273535728455,0.001,0.98575758934021,0.06905992329120636
11,0.9829411506652832,0.07576220482587814,0.001,0.9866666793823242,0.07029440999031067
12,0.9825133681297302,0.07506003975868225,0.001,0.9812121391296387,0.08248436450958252
13,0.9849732518196106,0.0641450583934784,0.0006,0.9851515293121338,0.05922183021903038
14,0.9862566590309143,0.05840811878442764,0.0006,0.989393949508667,0.05600201338529587
15,0.98481285572052,0.06397883594036102,0.0006,0.9793939590454102,0.06767632812261581
16,0.9833155274391174,0.06883683055639267,0.0006,0.9872727394104004,0.05431155115365982
17,0.9855080246925354,0.059412527829408646,0.0006,0.9806060791015625,0.06345821171998978
18,0.9859358072280884,0.0572843924164772,0.0006,0.9848484992980957,0.05815096199512482
19,0.9883422255516052,0.05142286419868469,0.00036,0.9878787994384766,0.049161940813064575
20,0.98887699842453,0.04850870743393898,0.00036,0.9848484992980957,0.052141182124614716
21,0.9881818294525146,0.04904907941818237,0.00036,0.986060619354248,0.0508708655834198
22,0.9886630773544312,0.046620775014162064,0.000216,0.9875757694244385,0.04687323421239853
23,0.9895721673965454,0.044772371649742126,0.000216,0.9878787994384766,0.0480671264231205
24,0.9899465441703796,0.04429405927658081,0.000216,0.9875757694244385,0.0489971786737442
25,0.990534782409668,0.042206015437841415,0.0001296,0.9872727394104004,0.0480148121714592
