epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5978074669837952,1.082733392715454,0.001,0.8012121319770813,0.6643005609512329
1,0.8487700819969177,0.6147642135620117,0.001,0.8733333349227905,0.5556737780570984
2,0.9057754278182983,0.4774830937385559,0.001,0.9315151572227478,0.3917551040649414
3,0.9554010629653931,0.312498539686203,0.001,0.96757572889328,0.2395542412996292
4,0.9768983721733093,0.18968486785888672,0.001,0.9796969890594482,0.14558574557304382
5,0.9789839386940002,0.13463076949119568,0.001,0.9821212291717529,0.13969296216964722
6,0.98128342628479,0.1066497415304184,0.001,0.9821212291717529,0.08992239087820053
7,0.9841176271438599,0.0857267901301384,0.001,0.9793939590454102,0.08979398757219315
8,0.9839572310447693,0.08062994480133057,0.001,0.9809091091156006,0.07960943877696991
9,0.9844384789466858,0.07706668972969055,0.001,0.9869697093963623,0.08891722559928894
10,0.9837967753410339,0.0811360627412796,0.001,0.9842424392700195,0.07943902909755707
11,0.9861497282981873,0.06892503798007965,0.001,0.9815151691436768,0.08282371610403061
12,0.9813903570175171,0.08712350577116013,0.001,0.9818181991577148,0.07217919826507568
13,0.9866310358047485,0.06589146703481674,0.001,0.9845454692840576,0.09004785120487213
14,0.9838502407073975,0.08503500372171402,0.001,0.9763636589050293,0.09535397589206696
15,0.9871657490730286,0.057924456894397736,0.0006,0.9890909194946289,0.04838263615965843
16,0.9881283640861511,0.050407037138938904,0.0006,0.9821212291717529,0.07294206321239471
17,0.9864705801010132,0.056914087384939194,0.0006,0.9869697093963623,0.05348256602883339
18,0.9904277920722961,0.04429364204406738,0.00036,0.9896969795227051,0.04230775311589241
19,0.9904812574386597,0.041889213025569916,0.00036,0.9875757694244385,0.052696552127599716
20,0.9903743267059326,0.041537173092365265,0.00036,0.9890909194946289,0.04530225321650505
21,0.9920855760574341,0.03765546530485153,0.000216,0.9851515293121338,0.05614134669303894
