epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5208556056022644,1.1107372045516968,0.001,0.596969723701477,0.7267345786094666
1,0.6760427951812744,0.6753286123275757,0.001,0.8587878942489624,0.6461070775985718
2,0.8216042518615723,0.615379273891449,0.001,0.9333333373069763,0.5798407793045044
3,0.9296791553497314,0.5328505039215088,0.001,0.9306060671806335,0.4957258105278015
4,0.9447593688964844,0.43703994154930115,0.001,0.9448484778404236,0.39162060618400574
5,0.9496256709098816,0.3492685556411743,0.001,0.9451515078544617,0.31505629420280457
6,0.953529417514801,0.28256475925445557,0.001,0.9415151476860046,0.2636711001396179
7,0.9548128247261047,0.2354034185409546,0.001,0.9575757384300232,0.22754895687103271
8,0.9580748677253723,0.20316411554813385,0.001,0.9566666483879089,0.1932203620672226
9,0.9595721960067749,0.17955558001995087,0.001,0.9521211981773376,0.17585448920726776
10,0.960695207118988,0.16416531801223755,0.001,0.9557575583457947,0.1609618216753006
11,0.9604278206825256,0.15285907685756683,0.001,0.9590908885002136,0.14808155596256256
12,0.9625133872032166,0.14216482639312744,0.001,0.9554545283317566,0.14260262250900269
13,0.9631550908088684,0.13535092771053314,0.001,0.9645454287528992,0.137172132730484
14,0.9645989537239075,0.1290787160396576,0.001,0.9666666388511658,0.1341652125120163
15,0.9654010534286499,0.12746578454971313,0.001,0.9651514887809753,0.12757080793380737
16,0.9654545187950134,0.1213722676038742,0.001,0.9633333086967468,0.12373515963554382
17,0.9673796892166138,0.11738568544387817,0.001,0.9630302786827087,0.1221160739660263
18,0.966417133808136,0.11741640418767929,0.001,0.9663636088371277,0.1156931221485138
19,0.9671657681465149,0.11345668137073517,0.001,0.9615151286125183,0.12257177382707596
20,0.9671123027801514,0.11468512564897537,0.001,0.9621211886405945,0.11440112441778183
21,0.9672192335128784,0.11192543059587479,0.001,0.9669696688652039,0.11005087196826935
22,0.9688235521316528,0.10944950580596924,0.001,0.9563636183738708,0.12507368624210358
23,0.9678609371185303,0.10988076031208038,0.001,0.9648484587669373,0.11134568601846695
24,0.9691978693008423,0.10367310047149658,0.0006,0.9657575488090515,0.10752461850643158
25,0.9695721864700317,0.1029457300901413,0.0006,0.96757572889328,0.10643000155687332
26,0.9698930382728577,0.10325970500707626,0.0006,0.9669696688652039,0.10542427748441696
27,0.9696791172027588,0.10128414630889893,0.0006,0.963939368724823,0.10537820309400558
28,0.9690374135971069,0.10179691761732101,0.0006,0.9654545187950134,0.1055375263094902
29,0.9698395729064941,0.09857244789600372,0.00036,0.9690909385681152,0.10475846379995346
30,0.970374345779419,0.09806584566831589,0.00036,0.9654545187950134,0.10375918447971344
31,0.970374345779419,0.09804710745811462,0.00036,0.9672726988792419,0.10338696092367172
32,0.9698930382728577,0.0967852771282196,0.00036,0.9654545187950134,0.10537170618772507
33,0.9709625840187073,0.09694302082061768,0.00036,0.9666666388511658,0.10460492968559265
34,0.9711229801177979,0.09495753049850464,0.000216,0.9672726988792419,0.10303233563899994
35,0.971818208694458,0.09510012716054916,0.000216,0.9651514887809753,0.10754639655351639
36,0.9710695147514343,0.09562622010707855,0.000216,0.9663636088371277,0.10198161751031876
37,0.9711764454841614,0.09498760104179382,0.000216,0.9642423987388611,0.10385160148143768
38,0.9712834358215332,0.09445761144161224,0.000216,0.9660605788230896,0.1013021171092987
39,0.9711229801177979,0.09445198625326157,0.000216,0.9666666388511658,0.10200872272253036
40,0.9709091186523438,0.09384516626596451,0.000216,0.9660605788230896,0.10495327413082123
41,0.9712299704551697,0.09310659766197205,0.0001296,0.96757572889328,0.10131058841943741
